Fix Time,Latitude,Longitude,Altitude,Speed,COG (deg),HDOP,VDOP,PDOP,Satellite Count,Time to Fix,Error,Nav. Type,Activity,Battery (V),Charge (V),Solar Current (mA),Temp (C)
2023-09-12T17:50:44.000Z,45.06148,-67.10601,39,0.03,0,0.71,0.89,1.13,12,9,0,3,37,3.97,0.671,8,36,
2023-09-12T18:05:55.000Z,45.05971,-67.10667,21,18.09,160,0.79,0.99,1.27,12,10,0,3,118,3.969,2.025,10,38,
2023-09-12T18:21:05.000Z,45.06126,-67.10568,23,0.1,0,0.85,1.09,1.39,12,9,0,3,122,3.969,0.773,23,36,
2023-09-12T18:36:16.000Z,45.06115,-67.10572,37,0.07,0,0.88,1.23,1.51,12,10,0,3,31,3.97,1.309,5,36,
2023-09-12T18:51:28.000Z,45.05804,-67.1134,50,0.05,0,1.06,1.89,2.17,12,11,0,3,174,3.968,0.469,17,33,
2023-09-12T19:06:38.000Z,45.05773,-67.11545,-14,0.21,0,0.75,1.06,1.3,12,9,0,3,779,3.966,0.465,20,33,
2023-09-12T19:21:49.000Z,45.05762,-67.11237,-10,0.11,0,0.72,1.13,1.38,12,10,0,3,1198,3.966,1.225,24,29,
2023-09-12T19:37:00.000Z,45.05739,-67.1125,-8,0.05,0,0.7,1.02,1.24,12,10,0,3,58,3.969,0.336,19,31,
2023-09-12T19:52:09.000Z,45.05771,-67.11243,-11,0.07,0,0.7,1.02,1.23,12,8,0,3,77,3.967,0.627,5,32,
2023-09-12T20:07:20.000Z,45.05857,-67.10958,-6,1.4,177,0.75,1.28,1.48,12,10,0,3,1745,3.966,0.528,26,28,
2023-09-12T20:22:31.000Z,45.05457,-67.11004,2,0.06,0,0.8,1.43,1.64,12,10,0,3,729,3.967,1.997,16,30,
2023-09-12T20:37:41.000Z,45.03583,-67.09332,-44,0.14,0,0.72,1.19,1.39,12,9,0,3,841,3.963,0.289,29,27,
2023-09-12T20:52:52.000Z,45.03587,-67.09143,-40,0.05,0,0.78,1.13,1.38,12,10,0,3,239,3.966,0.072,0,32,
2023-09-12T21:08:03.000Z,45.03563,-67.0905,-38,0.11,0,1.02,1.47,1.79,11,10,0,3,418,3.966,0.062,2,32,
2023-09-12T21:23:14.000Z,45.03551,-67.09068,-16,0.08,0,1.04,1.27,1.64,12,10,0,3,447,3.964,0.682,1,33,
