Fix Time,Latitude,Longitude,Altitude,Speed,COG (deg),HDOP,VDOP,PDOP,Satellite Count,Time to Fix,Error,Nav. Type,Activity,Battery (V),Charge (V),Solar Current (mA),Temp (C)
2024-01-22T18:51:30.000Z,39.72324,-75.5119,45,0.37,0,0.88,1.59,1.84,12,10,0,3,38,3.861,1.274,19,24,
2024-01-22T19:06:40.000Z,39.72127,-75.51228,74,0.12,0,1.02,2.04,2.52,10,9,0,3,233,3.861,0.988,96,22,
2024-01-22T19:21:52.000Z,39.72116,-75.51219,74,0.09,0,1.63,2.29,2.82,9,11,0,3,0,3.861,0.959,0,27,
2024-01-22T19:37:06.000Z,39.72259,-75.51089,119,0.18,0,1.1,1.25,1.63,12,13,0,3,129,3.861,1.315,57,25,
2024-01-22T19:52:36.000Z,39.72324,-75.51108,25,0.05,0,0.93,1.38,1.66,12,29,0,3,0,3.859,1.472,0,28,
2024-01-22T20:07:46.000Z,39.71945,-75.51258,35,14.64,212,1,1.19,1.55,12,9,0,3,979,3.859,2.174,69,21,
2024-01-22T20:22:55.000Z,39.71344,-75.51444,-28,0.48,0,1.11,1.02,1.32,12,8,0,3,719,3.857,1.462,49,16,
2024-01-22T20:38:04.000Z,39.72366,-75.51227,47,0.01,0,1.37,2.34,2.71,8,8,0,3,213,3.857,1.654,30,19,
2024-01-22T20:53:12.000Z,39.72395,-75.51228,58,0.02,324,1.06,1.58,1.98,10,7,0,3,243,3.859,1.542,12,21,
2024-01-22T21:08:22.000Z,39.72388,-75.51217,75,0.02,0,1.01,1.54,1.84,11,9,0,3,10,3.859,1.715,1,24,
2024-01-22T21:23:32.000Z,39.72389,-75.51221,66,0.15,0,1.1,1.56,1.91,10,9,0,3,22,3.858,0.913,0,24,
2024-01-22T21:38:42.000Z,39.72382,-75.51217,80,0.14,0,1.05,1.43,1.77,10,9,0,3,13,3.861,0.758,0,25,
2024-01-22T21:53:52.000Z,39.72104,-75.5111,55,0.06,0,1.05,1.37,1.72,9,9,0,3,219,3.859,0.262,0,25,
2024-01-22T22:09:36.000Z,39.72198,-75.51132,3,0.07,0,2.54,2.35,3.47,10,43,0,3,565,3.858,0.166,0,22,
2024-01-22T22:24:17.000Z,39.71564,-75.51958,-33,0.32,0,1.25,1.73,2.22,9,10,0,3,237,3.854,0.941,0,19,
2024-01-22T22:39:25.000Z,39.71553,-75.51962,-23,0.07,0,1.39,1.52,1.97,8,7,0,3,6,3.856,0.032,0,24,
2024-01-22T22:54:36.000Z,39.71555,-75.51957,-39,0.5,268,1.44,1.41,2.02,9,10,0,3,0,3.857,0.042,0,26,
2024-01-22T23:09:47.000Z,39.71522,-75.51984,-11,0.02,0,1.39,1.42,1.99,8,10,0,3,61,3.857,0.102,0,27,
2024-01-22T23:24:58.000Z,39.71509,-75.51991,46,0.18,0,1.49,3.32,4.09,7,10,0,3,2,3.856,0.053,0,28,
2024-01-22T23:40:13.000Z,39.72328,-75.48106,96,0.41,0,1.56,1.46,1.93,7,14,0,3,282,3.856,0,0,24,
2024-01-22T23:55:27.000Z,39.72586,-75.48135,90,0.3,0,1.26,1.52,1.98,11,13,0,3,0,3.857,0,0,28,
